
Model: R2U_Net loaded successfully!! | pretrained : False
  0%|          | 0/1000 [00:00<?, ?it/s]

  9%|▉         | 91/1000 [40:12<6:09:33, 24.39s/it]

  9%|▉         | 92/1000 [40:36<6:09:02, 24.39s/it]

  9%|▉         | 93/1000 [41:01<6:08:37, 24.39s/it]

  9%|▉         | 94/1000 [41:25<6:08:42, 24.42s/it]

 10%|▉         | 95/1000 [41:50<6:08:16, 24.42s/it]

 10%|▉         | 96/1000 [42:14<6:07:53, 24.42s/it]

 10%|▉         | 97/1000 [42:39<6:07:27, 24.42s/it]

 10%|▉         | 98/1000 [43:03<6:07:16, 24.43s/it]

 10%|▉         | 99/1000 [43:27<6:06:41, 24.42s/it]
Visualize save : 100/1000

 10%|█         | 100/1000 [43:52<6:07:42, 24.51s/it]

 10%|█         | 101/1000 [44:17<6:06:54, 24.49s/it]

 10%|█         | 102/1000 [44:41<6:06:03, 24.46s/it]

 10%|█         | 103/1000 [45:05<6:05:21, 24.44s/it]

 10%|█         | 104/1000 [45:30<6:04:56, 24.44s/it]

 10%|█         | 105/1000 [45:54<6:04:24, 24.43s/it]

 11%|█         | 106/1000 [46:19<6:03:59, 24.43s/it]

 11%|█         | 107/1000 [46:43<6:03:20, 24.41s/it]

 11%|█         | 108/1000 [47:08<6:03:15, 24.43s/it]
Visualize save : 109/1000
Saved model at /mnt/HDD/chest-seg_models/r2unet_v1_240512/model_109.pt
[41m Early stopping at epoch 109
[41m Best valid loss: 5.786574669182301
[41m ACC : 0.349386052979577

 11%|█         | 108/1000 [47:32<6:32:41, 26.41s/it]
